company,industry,country,date
The Trade Desk,Marketing and Sales,United States,2025-12-17
Believer Meats,Food,Israel,2025-12-11
EyeEm,Other,Germany,2025-12-11
GenWise,Other,India,2025-12-09
Inbound Health,Healthcare,United States,2025-12-01
Shopify,Retail,Canada,2025-11-26
Veson Nautical,Other,United States,2025-11-18
AI Fleet,Logistics & Transportation,United States,2025-11-13
Hootsuite,Marketing and Sales,Canada,2025-10-27
Tia,Healthcare,United States,2025-10-17
Bill.com,Finance,United States,2025-10-15
OfferUp,Retail,United States,2025-10-15
Sorbet,Finance,Israel,2025-09-14
Hike,Consumer,India,2025-09-13
Vimeo,Consumer,United States,2025-09-03
theGist,Other,Israel,2025-09-03
The Gist,Other,Israel,2025-09-03
Oracle,Other,United States,2025-09-02
Flip,Consumer,United States,2025-08-29
Verily,Healthcare,United States,2025-08-26
Klaviyo,Marketing and Sales,United States,2025-08-25
TikTok,Consumer,United Kingdom,2025-08-22
Kyte,Logistics & Transportation,United States,2025-08-15
Eyeo,Other,Germany,2025-07-28
Ohm Mobility,Logistics & Transportation,India,2025-07-24
Tipalti,Finance,United States,2025-07-24
WiseTech,Logistics & Transportation,Australia,2025-07-23
Zeen,Consumer,United States,2025-07-21
Amazon,Retail,United States,2025-07-17
Amicole,Retail,United States,2025-07-17
Blip,Retail,India,2025-07-12
TripleLift,Marketing and Sales,United States,2025-07-11
TikTok,Consumer,Ireland,2025-07-02
Okra,Finance,Nigeria,2025-07-02
Microsoft,Other,United States,2025-06-24
Intel,Hardware,United States,2025-06-24
Intel,Hardware,Israel,2025-06-17
nCino,Finance,United States,2025-05-27
Luminar,Logistics & Transportation,United States,2025-05-20
Blink Charging,Other,United States,2025-05-19
Bench,Finance,United States,2025-05-01
Spotter,Other,United States,2025-04-28
Tomorrow,Hardware,United States,2025-04-28
Google,Consumer,United States,2025-04-11
Marin Software,Marketing and Sales,United States,2025-04-10
Coho AI,Marketing and Sales,Israel,2025-04-06
Arrival,Logistics & Transportation,United Kingdom,2025-03-10
Zonar Systems,Logistics & Transportation,United States,2025-03-09
Rec Room,Consumer,United States,2025-03-03
ANS Commerce,Retail,India,2025-03-02
Google,Consumer,United States,2025-02-27
Commercetools,Retail,Germany,2025-02-26
HerMD,Healthcare,United States,2025-02-24
NetEase,Consumer,Japan,2025-02-22
Riskified,Retail,United States,2025-02-19
Getaround,Logistics & Transportation,United States,2025-02-12
Unity,Other,United States,2025-02-11
Cushion,Finance,United States,2025-01-30
Amazon,Retail,United States,2025-01-29
Moon Active,Consumer,Israel,2025-01-27
Microsoft,Other,United States,2025-01-14
Advisor Credit Exchange,Finance,United States,2025-01-14
Alza,Finance,United States,2025-01-13
Boozt,Retail,Sweden,2025-01-13
Microsoft,Other,United States,2025-01-07
Cloud Software Group,Other,United States,2025-01-07
Level,Finance,United States,2025-01-02
Brave Care,Healthcare,United States,2024-12-31
